Restaurant Name, Dish Name, Price, Cuisine Type, Suitable for, FID
The Alcove, Chicken Chettinad, ₹350, South Indian, all seasons, 2301
The Alcove, Masala Dosa, ₹150, South Indian, all seasons, 2302
The Alcove, Fish Curry, ₹300, South Indian, rainy seasons, 2303
The Alcove, Fried Rice, ₹250, Chinese, all seasons, 2304
The Alcove, Veg Hakka Noodles, ₹200, Chinese, all seasons, 2305
The Alcove, Grilled Sandwich, ₹150, Continental, all seasons, 2306
The Alcove, Chicken Burger, ₹200, Fast Food, all seasons, 2307
The Alcove, Paneer Tikka, ₹250, Continental, all seasons, 2308
The Alcove, Chocolate Brownie, ₹150, Dessert, all seasons, 2309
The Alcove, Lemonade, ₹80, Beverage, hot sunny days, 2310
The Alcove, Filter Coffee, ₹50, Beverage, all seasons, 2311
The Alcove, Veg Manchurian, ₹200, Chinese, all seasons, 2312
